Date,Open,High,Low,Close,Adjusted_close,Volume
2023-03-09,153.56,154.54,150.23,150.59,149.9816,53833600
2023-03-10,150.21,150.94,147.61,148.5,147.9,68572400
2023-03-13,147.81,153.14,147.7,150.47,149.8621,84457100
2023-03-14,151.28,153.4,150.1,152.59,151.9735,73695900
2023-03-15,151.19,153.25,149.92,152.99,152.3719,77167900
2023-03-16,152.16,156.46,151.64,155.85,155.2204,76161100
2023-03-17,156.08,156.74,154.28,155,154.3738,98944600
2023-03-20,155.07,157.82,154.15,157.4,156.7641,73641400
2023-03-21,157.32,159.4,156.54,159.28,158.6365,73938300
2023-03-22,159.3,162.14,157.81,157.83,157.1924,75701800
2023-03-23,158.83,161.55,157.68,158.93,158.2879,67622100
2023-03-24,158.86,160.34,157.85,160.25,159.6026,59196500
2023-03-27,159.94,160.77,157.87,158.28,157.6405,52390300
2023-03-28,157.97,158.49,155.98,157.65,157.0131,45992200
2023-03-29,159.37,161.05,159.35,160.77,160.1205,51305700
2023-03-30,161.53,162.47,161.27,162.36,161.704,49501700
2023-03-31,162.44,165,161.91,164.9,164.2338,68749800
2023-04-03,164.27,166.29,164.22,166.17,165.4987,56976200
2023-04-04,166.6,166.84,165.11,165.63,164.9608,46278300
2023-04-05,164.74,165.05,161.8,163.76,163.0984,51511700
2023-04-06,162.43,164.96,162,164.66,163.9948,45390100
2023-04-10,161.42,162.03,160.08,162.03,161.3754,47716900
2023-04-11,162.35,162.36,160.51,160.8,160.1504,47644200
2023-04-12,161.22,162.06,159.78,160.1,159.4532,50133100
2023-04-13,161.63,165.8,161.42,165.56,164.8911,68445600
2023-04-14,164.59,166.32,163.82,165.21,164.5425,49386500
2023-04-17,165.09,165.39,164.03,165.23,164.5625,41516200
2023-04-18,166.1,167.41,165.65,166.47,165.7974,49923000
2023-04-19,165.8,168.16,165.54,167.63,166.9528,47720200
2023-04-20,166.09,167.87,165.56,166.65,165.9767,52456400
2023-04-21,165.05,166.45,164.49,165.02,164.3533,58337300
2023-04-24,165,165.6,163.89,165.33,164.662,41949600
2023-04-25,165.19,166.31,163.73,163.77,163.1084,48714100
2023-04-26,163.06,165.28,162.8,163.76,163.0984,45498800
2023-04-27,165.19,168.56,165.19,168.41,167.7296,64902300
2023-04-28,168.49,169.85,167.88,169.68,168.9945,55209200
2023-05-01,169.28,170.45,168.64,169.59,168.9048,52472900
2023-05-02,170.09,170.35,167.54,168.54,167.8591,48425700
2023-05-03,169.5,170.92,167.16,167.45,166.7735,65136000
2023-05-04,164.89,167.04,164.31,165.79,165.1202,81235400
2023-05-05,170.98,174.3,170.76,173.57,172.8688,113316400
2023-05-08,172.48,173.85,172.11,173.5,172.799,55962800
2023-05-09,173.05,173.54,171.6,171.77,171.076,45326900
2023-05-10,173.02,174.03,171.9,173.56,172.8588,53724500
2023-05-11,173.85,174.59,172.17,173.75,173.048,49514700
2023-05-12,173.62,174.06,171,172.57,172.1105,45497800
2023-05-15,173.16,173.21,171.47,172.07,171.6119,37266700
2023-05-16,171.99,173.14,171.8,172.07,171.6119,42110300
2023-05-17,171.71,172.93,170.42,172.69,172.2302,57951600
2023-05-18,173,175.24,172.58,175.05,174.5839,65496700
2023-05-19,176.39,176.39,174.94,175.16,174.6936,55772400
2023-05-22,173.98,174.71,173.45,174.2,173.7362,43570900
2023-05-23,173.13,173.38,171.28,171.56,171.1032,50747300
2023-05-24,171.09,172.42,170.52,171.84,171.3825,45143500
2023-05-25,172.41,173.9,171.69,172.99,172.5294,56058300
2023-05-26,173.32,175.77,173.11,175.43,174.9629,54835000
2023-05-30,176.96,178.99,176.57,177.3,176.8279,55964400
2023-05-31,177.33,179.35,176.76,177.25,176.7781,99625300
2023-06-01,177.7,180.12,176.93,180.09,179.6105,68901800
2023-06-02,181.03,181.78,179.26,180.95,180.4682,61945900
2023-06-05,182.63,184.95,178.04,179.58,179.1019,121946500
2023-06-06,179.97,180.12,177.43,179.21,178.7329,64848400
2023-06-07,178.44,181.21,177.32,177.82,177.3466,61944600
2023-06-08,177.9,180.84,177.46,180.57,180.0892,50214900
2023-06-09,181.5,182.23,180.63,180.96,180.4782,48870700
2023-06-12,181.27,183.89,180.97,183.79,183.3007,54274900
2023-06-13,182.8,184.15,182.44,183.31,182.8219,54929100
2023-06-14,183.37,184.39,182.02,183.95,183.4602,57462900
2023-06-15,183.96,186.52,183.78,186.01,185.5148,65433200
2023-06-16,186.73,186.99,184.27,184.92,184.4277,101235600
2023-06-20,184.41,186.1,184.41,185.01,184.5174,49799100
2023-06-21,184.9,185.41,182.59,183.96,183.4702,49515700
2023-06-22,183.74,187.05,183.67,187,186.5021,51245300
2023-06-23,185.55,187.56,185.01,186.68,186.183,53079300
2023-06-26,186.83,188.05,185.23,185.27,184.7767,48088700
2023-06-27,185.89,188.39,185.67,188.06,187.5593,50730800
2023-06-28,187.93,189.9,187.6,189.25,188.7461,51216800
2023-06-29,189.08,190.07,188.94,189.59,189.0852,46347300
2023-06-30,191.63,194.48,191.26,193.97,193.4536,85069600
2023-07-03,193.78,193.88,191.76,192.46,191.9476,31458200
2023-07-05,191.57,192.98,190.62,191.33,190.8206,46920300
2023-07-06,189.84,192.02,189.2,191.81,191.2993,45094300
2023-07-07,191.41,192.67,190.24,190.68,190.1723,46778000
2023-07-10,189.26,189.99,187.04,188.61,188.1078,59922200
2023-07-11,189.16,189.3,186.6,188.08,187.5792,46638100
2023-07-12,189.68,191.7,188.47,189.77,189.2647,60750200
2023-07-13,190.5,191.19,189.78,190.54,190.0327,41342300
2023-07-14,190.23,191.18,189.63,190.69,190.1823,41573900
2023-07-17,191.9,194.32,191.81,193.99,193.4735,50520200
2023-07-18,193.35,194.33,192.42,193.73,193.2142,48353800
2023-07-19,193.1,198.23,192.65,195.1,194.5805,80507300
2023-07-20,195.09,196.47,192.5,193.13,192.6158,59581200
2023-07-21,194.1,194.97,191.23,191.94,191.429,71917800
2023-07-24,193.41,194.91,192.25,192.75,192.2368,45377800
2023-07-25,193.33,194.44,192.92,193.62,193.1045,37283200
2023-07-26,193.67,195.64,193.32,194.5,193.9821,47471900
2023-07-27,196.02,197.2,192.55,193.22,192.7056,47460200
2023-07-28,194.67,196.63,194.14,195.83,195.3086,48291400
2023-07-31,196.06,196.49,195.26,196.45,195.927,38824100
2023-08-01,196.24,196.73,195.28,195.61,195.0892,35175100
2023-08-02,195.04,195.18,191.85,192.58,192.0673,50389300
2023-08-03,191.57,192.37,190.69,191.17,190.661,61235200
2023-08-04,185.52,187.38,181.92,181.99,181.5055,115799700
2023-08-07,182.13,183.13,177.35,178.85,178.3738,97576100
2023-08-08,179.69,180.27,177.58,179.8,179.3213,67823000
2023-08-09,180.87,180.93,177.01,178.19,177.7156,60378500
